type,img,name,link,,,
author,https://learn-awesome.github.io/assets/people/Debbie_Millman.png,Debbie Millman,debbie-millman-books,,,
author,https://learn-awesome.github.io/assets/people/Esther_Dyson.png,Esther Dyson,esther-dyson-books,,,
author,https://learn-awesome.github.io/assets/people/Brendan_Moynihan.png,Brendan Moynihan,brendan-moynihan-books,,,
author,https://learn-awesome.github.io/assets/people/Chris_Fussell.png,Chris Fussell,chris-fussell-books,,,
author,https://learn-awesome.github.io/assets/people/Leo_Babauta.png,Leo Babauta,leo-babauta-books,,,
author,https://learn-awesome.github.io/assets/people/Steven_Pressfield.png,Steven Pressfield,steven-pressfield-books,,,
author,https://learn-awesome.github.io/assets/people/Sharon_Salzberg.png,Sharon Salzberg,sharon-salzberg-books,,,
author,https://learn-awesome.github.io/assets/people/Matt_Ridley.png,Matt Ridley,matt-ridley-books,,,
author,https://learn-awesome.github.io/assets/people/Sarah_Lewis.png,Sarah Lewis,sarah-lewis-books,,,
author,https://learn-awesome.github.io/assets/people/James_Fadiman.png,James Fadiman,james-fadiman-books,,,
author,https://learn-awesome.github.io/assets/people/Kristen_Ulmer.png,Kristen Ulmer,kristen-ulmer-books,,,
author,https://learn-awesome.github.io/assets/people/John_Crowley.png,John Crowley,john-crowley-books,,,
author,https://learn-awesome.github.io/assets/people/Aniela_Gregorek.png,Aniela Gregorek,aniela-gregorek-books,,,
author,https://learn-awesome.github.io/assets/people/Ravi_Zacharias.png,Ravi Zacharias,ravi-zacharias-books,,,
author,https://learn-awesome.github.io/assets/people/Abraham_Mutai.png,Abraham Mutai,abraham-mutai-books,,,
author,https://learn-awesome.github.io/assets/people/Dan_Ariely.png,Dan Ariely,dan-ariely-books,,,
author,https://learn-awesome.github.io/assets/people/Marie_Kondo.png,Marie Kondo,marie-kondo-books,,,
author,https://learn-awesome.github.io/assets/people/Ben_Greenfield.png,Ben Greenfield,ben-greenfield-books,,,
author,https://learn-awesome.github.io/assets/people/Aaron_Gleeman.png,Aaron Gleeman,aaron-gleeman-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Bill_Gates.png,Bill Gates,bill-gates-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Donald_Trump.png,Donald Trump,donald-trump-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Oprah_Winfrey.png,Oprah Winfrey,oprah-winfrey-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Elon_Musk.png,Elon Musk,elon-musk-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Ev_Williams.png,Ev Williams,ev-williams-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Patrick_Collison.png,Patrick Collison,patrick-collison-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Richard_Branson.png,Richard Branson,richard-branson-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Keith_Rabois.png,Keith Rabois,keith-rabois-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Marc_Andreessen.png,Marc Andreessen,marc-andreessen-books,,,
billionaire,https://learn-awesome.github.io/assets/people/J.K._Rowling.png,J.K. Rowling,jk-rowling-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Warren_Buffett.png,Warren Buffett,warren-buffett-books,,,
